"Data Source","World Development Indicators",

"Last Updated Date","2017-01-03",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","890","940","940","1040","1100","1250","1290","1530","1640","1730","1960","1970","1960","1940","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2070","2690","1750","1300","1040","1730","2030","2320","2370","2280","2480","2580","2480","2600","2840","3290","3930","4910","5270","5720","5740","5920","6020","6390","6590","6470","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2750","1970","1840","2150","2420","2860","3210","2930","3270","3770","4160","4650","4900","5320","5790","6320","7270","7870","8810","9190","9210","9610","10280","10440","10990","11090","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6722.73898836976","6553.74428037895","6916.63818523939","7144.10175466676","7265.98325733038","7410.68376088127","7711.23470550623","8048.39096785473","8507.25684251915","8700.28045666934","9051.82070435915","9286.23267535758","9249.51532017639","9524.11149811585","10522.0786878081","11306.3081913362","12257.6358090086","13035.454163354","13764.0294119147","13729.31181295","14080.5539597681","14442.5186357063","15183.688291025","15507.6186896425","16008.2352793982","16434.9146162002","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87630","83060","85530","88260","85690","84520","77880","69960","59850","56230","57610","61160","64670","67330","70020","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6690","7790","8910","9580","10210","9960","10550","11460","11850","11480","11520","11110","9500","10550","11740","13320","14860","16560","17390","16200","17810","19230","19250","19850","19500","20010","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2220","1130","1180","1420","1580","1780","1950","2080","2190","2380","2690","3120","3630","4120","4910","5790","6830","7520","6410","6690","7050","7700","8210","8500","8770","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
